	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	NA	NA	NA	NA	NA	NA
ENSG00000132357.14	21.2600834689611	-4.2757746236419	0.759306762762581	39.5341403819692	1.33749641510779e-08	5.89069140264321e-08	chr5	40841307	40860175	+	NA	CARD6
MSTRG.22271	915.086685514262	-0.0506965181011141	0.151780048039873	39.5325118251	1.33855968127344e-08	5.89429020370978e-08	chr5	160393147	160400054	-	NA	ZBED8
MSTRG.11445	913.363152922004	-0.212812749093446	0.155627094560295	39.5282862542846	1.34132244687956e-08	5.90536997848464e-08	chr17	3636458	3663103	+	NA	CTNS
MSTRG.7581	398.700408919329	0.602287273500247	0.14591803135553	39.5218881730156	1.34551648888064e-08	5.92274592697347e-08	chr13	45341344	45417975	+	NA	TPT1-AS1
MSTRG.11513	5353.90675576166	-0.476537990958301	0.108224392438197	39.517636963738	1.34831046305076e-08	5.93395374898246e-08	chr17	5360962	5419688	-	NA	NUP88
MSTRG.5402	1513.29868265371	-0.86148566197342	0.172133315320462	39.5008321930835	1.35941171335209e-08	5.98071618782353e-08	chr11	95976597	96343195	-	NA	MAML2
MSTRG.2698	60.0674324599335	0.687733085387277	0.4365260279137	39.5007966018547	1.35943532157034e-08	5.98071618782353e-08	chr1	201222112	201223123	-	NA	AC103925.1
ENSG00000172867.4	5.16853407808599	6.69226298870904	1.56633107144728	39.4816075015847	1.37222356420313e-08	6.0358680140353e-08	chr12	52644557	52652211	-	NA	KRT2
MSTRG.25556	862.400004819679	-0.811720307073851	0.157584596005734	39.4684172960412	1.38108355935722e-08	6.07372395084811e-08	chr8	42541154	42555195	+	NA	SMIM19
MSTRG.25355	83.4272671171292	-0.223213487883361	0.2277597629612	39.4655850299336	1.38299346014871e-08	6.08100649958152e-08	chr8	22613907	22616657	-	NA	AC037459.2
MSTRG.17019	640.930938143294	-0.113315653157367	0.107229801314706	39.4596279342219	1.38701916157103e-08	6.09725047039886e-08	chr20	23374518	23421519	-	NA	NAPB
MSTRG.1771	684.092253327331	-0.624111439028915	0.132823584280082	39.4593650993339	1.38719705014336e-08	6.09725047039886e-08	chr1	100344476	100520277	+	NA	AC104457.2
MSTRG.1131	9482.58844590722	0.0336647285545456	0.12219449217707	39.4217697941772	1.41287799040302e-08	6.20898813694087e-08	chr1	38838197	38881617	-	NA	RRAGC
MSTRG.27194	8103.49852444035	-0.142553540561321	0.120983799527885	39.4155309468671	1.41718538139032e-08	6.22677452160964e-08	chr9	128920965	129007096	+	NA	PHYHD1
MSTRG.11386	3932.36338722022	-0.451335883642098	0.104490689613601	39.4076157897107	1.42266900130397e-08	6.24972150160059e-08	chr17	1517673	1562792	-	NA	NA
MSTRG.26670	7494.13320647867	-0.530606289072254	0.1251088160573	39.3913338504884	1.43401585086784e-08	6.29841224594303e-08	chr9	69709521	69760011	-	NA	PTAR1
MSTRG.10924	7318.8361879764	-0.216353033151713	0.108023226763268	39.3903283612257	1.43471953018465e-08	6.30034730786753e-08	chr16	67028983	67101058	+	NA	CBFB
ENSG00000214803.3	24.9554091507518	3.06127149335081	0.530274453259646	39.373505709347	1.44654394173553e-08	6.35110766938008e-08	chr8	124192670	124247398	-	NA	AC090921.1
MSTRG.11701	1055.80304522051	-0.609678262380024	0.136920246336221	39.3720254092769	1.44758907190729e-08	6.35453124031015e-08	chr17	16217190	16351797	+	NA	PIGL
MSTRG.10079	2275.01251697071	-0.705217779777127	0.133397794527948	39.3580226668683	1.45751275547229e-08	6.39692090222499e-08	chr16	1771889	1773150	-	NA	MRPS34
MSTRG.2688	146.786235969236	-0.125327619932195	0.255931381526685	39.3514653495272	1.46218322903745e-08	6.41624328431937e-08	chr1	200253418	200400705	-	NA	LINC00862
MSTRG.24609	7579.77144560317	-0.437785791692805	0.083923734973239	39.3457946877208	1.46623422971016e-08	6.43284075936966e-08	chr7	100088968	100092187	+	NA	COPS6
MSTRG.3342	4382.43671920962	-0.516550574844347	0.106165571051668	39.3375982897307	1.47210938144156e-08	6.45743382450991e-08	chr10	27154823	27187953	+	NA	MASTL
MSTRG.20300	33605.8585470792	-1.13040132997432	0.238232219480303	39.3094526531437	1.49246365951946e-08	6.54551919246394e-08	chr4	39452586	39458931	-	NA	RPL9
MSTRG.23634	12.0682613349706	-0.385364433450034	0.830608596593984	39.3015793755208	1.49820757831902e-08	6.56950717275723e-08	chr6	139435635	139474658	-	NA	LINC01625
MSTRG.17018	1289.89467130495	-0.477587287276179	0.107192554620195	39.2856187180965	1.50991944768201e-08	6.61965051156965e-08	chr20	23362159	23373062	+	NA	NA
MSTRG.11267	221.842850416891	0.973047173015855	0.207438081261716	39.2619764963724	1.52743627330961e-08	6.69522039184914e-08	chr16	86566828	86569728	+	NA	FOXC2
MSTRG.14426	292.400090264571	0.0362350819367645	0.19186768371651	39.2520436375074	1.53485606887351e-08	6.72651233990575e-08	chr19	39530986	39532852	-	NA	EID2B
MSTRG.13017	3161.21412381066	-0.548923007441478	0.102793071971703	39.2495987833481	1.53668787662294e-08	6.73330794027682e-08	chr17	82018701	82024107	-	NA	CENPX
MSTRG.22620	11988.0435876104	0.00819451211250562	0.119256357626299	39.248135911658	1.53778497764476e-08	6.73630422514876e-08	chr6	21593750	21598619	+	NA	SOX4
MSTRG.11905	33.2227029433482	0.446486232041675	0.551303497230825	39.2479368611009	1.53793431883773e-08	6.73630422514876e-08	chr17	28950512	29057216	+	NA	PIPOX
MSTRG.3546	2115.45128712965	0.669486695991073	0.141159042181361	39.2432330876718	1.54146762655489e-08	6.75054568132467e-08	chr10	49454469	49539538	-	NA	ERCC6
MSTRG.13669	24195.5671704181	0.139027815525799	0.0767256160186855	39.2255534596777	1.55482059276856e-08	6.80777727453574e-08	chr19	2269508	2355095	+	NA	OAZ1
MSTRG.923	1694.44856765018	-1.10196371553463	0.186151824252195	39.2123078578325	1.56490029733431e-08	6.85065859597211e-08	chr1	27206929	27207796	+	NA	NPM1P39
MSTRG.24882	295.524483822647	-1.0085489054534	0.273970559715784	39.209706182616	1.56688778839239e-08	6.8581054616787e-08	chr7	129410112	129410370	-	NA	AC009244.1
ENSG00000285722.1	25.6052455419787	5.36068018234983	0.961801947000225	39.2022106400982	1.57262794469705e-08	6.88197163079595e-08	chr22	49372923	49377119	+	NA	AC207130.1
MSTRG.27491	4880.47324789482	0.461607353450672	0.122060416734434	39.1853129804123	1.58564548961623e-08	6.93766981442542e-08	chrX	19533976	19887600	-	NA	SH3KBP1
MSTRG.27447	2564.05118044036	0.638969901285497	0.102299361859072	39.1758999361694	1.59294368576847e-08	6.96832837037118e-08	chrX	13734744	13769357	+	NA	OFD1
MSTRG.15538	2191.62335664277	0.241922777604276	0.11711684539101	39.1706189183487	1.59705288756314e-08	6.98502802659121e-08	chr2	73762183	73780157	-	NA	DUSP11
MSTRG.26060	5456.12148738304	0.337209707357024	0.227727111832254	39.1628505250487	1.60311678477568e-08	7.01026927104429e-08	chr8	120535744	120813273	-	NA	SNTB1
MSTRG.15064	8483.37248573623	0.629053516606693	0.111413701936723	39.1490256251825	1.61396523690048e-08	7.05641985810094e-08	chr2	25729714	25878557	-	NA	NA
ENSG00000159640.16	6.83665178488373	1.37091612415139	1.64278273502157	39.1384536751541	1.62231053276869e-08	7.09161154028459e-08	chr17	63477060	63498380	+	NA	ACE
MSTRG.12540	1115.86349086866	-0.867385066986532	0.143789749826621	39.1339409882588	1.62588587316348e-08	7.10594325949495e-08	chr17	58095671	58101479	+	NA	AC015813.6
MSTRG.16971	8104.65968842899	-1.95711384769489	0.322999019477426	39.1165675889838	1.63972420458698e-08	7.16511602245251e-08	chr20	15884652	15985876	-	NA	NA
MSTRG.9832	1481.04883674137	-0.878883146863951	0.292683669567823	39.1127686202902	1.64276581374742e-08	7.17709727713845e-08	chr15	90074511	90082207	-	NA	ZNF710-AS1
MSTRG.5513	3319.63695950786	-0.966559944040035	0.208451816226179	39.097308719143	1.65520187662275e-08	7.23011020386873e-08	chr11	111878934	111885975	+	NA	C11orf1
ENSG00000287431.1	100.997831217824	-0.902526648780176	0.442157422417927	39.0897508191195	1.66131568422404e-08	7.2554924994399e-08	chr17	81339182	81345966	-	NA	AC027601.5
MSTRG.1174	2141.98150059209	0.228781651919772	0.0985644665145144	39.0736696718726	1.67439934972732e-08	7.311299567573e-08	chr1	40691647	40771603	+	NA	NA
MSTRG.17895	5068.92841021251	-0.419698074264685	0.131641996115232	39.0729881449454	1.67495610934337e-08	7.31239726423634e-08	chr22	20495912	20587632	+	NA	MED15
MSTRG.16026	1484.81354942498	0.739662227156383	0.126011171836382	39.0585883908857	1.68676301757791e-08	7.36260065966472e-08	chr2	148644439	148787569	+	NA	EPC2
MSTRG.6938	14.8860077423613	-0.13518498632965	0.549724116870472	39.0581883621657	1.68709220037175e-08	7.36269543103736e-08	chr12	103746314	103768858	-	NA	AC025265.1
MSTRG.23908	17786.2269652732	-0.647062142875288	0.133298065657986	39.0541889733855	1.69038681844916e-08	7.37572936490227e-08	chr7	4682294	4771442	+	NA	FOXK1
MSTRG.1825	14.8096577377523	0.107292304313266	1.00980014400296	39.0481736018622	1.6953542683062e-08	7.39605635067596e-08	chr1	109105950	109113857	-	NA	C1orf194
MSTRG.16079	87.6433255161645	-0.294254728642103	0.385559096135981	39.0357534505146	1.70565691436495e-08	7.43964671609892e-08	chr2	151485335	151734487	-	NA	NEB
MSTRG.24041	12204.2608193214	-0.0225117018721705	0.186404627848477	39.0178229692418	1.72064083328071e-08	7.50363602144233e-08	chr7	22510615	22511999	-	NA	EEF1A1P6
MSTRG.6872	10676.7255059817	-0.35149459109731	0.144148168454538	39.008573391341	1.72842173229107e-08	7.53619570310306e-08	chr12	101393115	101407772	-	NA	ARL1
MSTRG.25451	6036.72734542595	-0.0809210232708729	0.0881870679239059	39.0074233272051	1.72939163851446e-08	7.5390519162329e-08	chr8	30774456	30814314	-	NA	PPP2CB
MSTRG.19655	166.816096030105	-0.0342068015301022	0.241384047716487	39.0032637226869	1.73290418035426e-08	7.55298935252332e-08	chr3	152245261	152269557	-	NA	MBNL1-AS1
ENSG00000228824.7	104.534111835968	-1.3670462431351	0.344835909356641	38.977529367003	1.75479429308374e-08	7.64700712323624e-08	chr13	87427213	87674235	-	NA	MIR4500HG
MSTRG.20147	21273.1435710803	-0.341784281126102	0.0835846165104136	38.9748016555067	1.7571306612683e-08	7.65579527196703e-08	chr4	6640090	6642745	+	NA	MRFAP1
MSTRG.9154	6.01486193906602	5.80800114273146	1.41250096838366	38.9674351133792	1.76345586583796e-08	7.68195636953899e-08	chr15	44354690	44355692	+	NA	AC090519.1
MSTRG.6545	16495.1429539647	-0.152334590633254	0.126340064405079	38.9643313747312	1.76612766294962e-08	7.69219589250485e-08	chr12	57095407	57132139	-	NA	STAT6
MSTRG.27474	19199.6013359911	0.411591919235987	0.0668024832206222	38.9416559722088	1.78577042669965e-08	7.7763336311602e-08	chrX	16839282	16870362	-	NA	RBBP7
MSTRG.3236	4373.94186758382	-0.334642068713119	0.144361624656497	38.9353507711341	1.79127102880635e-08	7.79886837378126e-08	chr10	15102583	15168693	-	NA	NMT2
ENSG00000287762.1	10.1743496245127	4.7485886263996	1.37412805910382	38.9331663374091	1.79318065379884e-08	7.80576330410236e-08	chr4	41608311	41612411	-	NA	AC108050.1
MSTRG.22518	223.407744654563	0.232593864911517	0.17700867238668	38.9288417740541	1.79696717239516e-08	7.82082441115496e-08	chr6	5003773	5045666	+	NA	LYRM4-AS1
MSTRG.1431	6304.22200252934	-0.317645013282739	0.0964963807912471	38.9178477929106	1.8066293211665e-08	7.86144752401473e-08	chr1	58643439	58700077	-	NA	MYSM1
MSTRG.27507	15451.8605856972	0.309418985875273	0.0945120246178114	38.9165662785726	1.807758961633e-08	7.86493388358716e-08	chrX	21940689	21994837	+	NA	NA
ENSG00000250305.9	14.9353079408498	-2.46911062546168	0.8186842483885	38.875665288636	1.84418567178891e-08	8.02195642082783e-08	chr8	12945641	13031503	+	NA	TRMT9B
MSTRG.5351	653.537924507443	0.794508186889302	0.184220271443008	38.8614340705757	1.85703125576964e-08	8.07636586463129e-08	chr11	86945678	86955395	-	NA	FZD4
MSTRG.25549	11593.3074747001	-0.811447381703507	0.150670324429976	38.8512561758773	1.86627294372027e-08	8.11508478487845e-08	chr8	42391623	42405937	+	NA	VDAC3
MSTRG.17299	6816.79830980938	-0.0056183524527463	0.120015654612333	38.8440685152346	1.87282711219824e-08	8.14210566969846e-08	chr20	48921710	49036693	+	NA	ARFGEF2
MSTRG.23990	11527.3601468789	-0.559962956865937	0.132880546539237	38.8231099270704	1.89207003261611e-08	8.22427101125892e-08	chr7	12211269	12243367	+	NA	TMEM106B
ENSG00000253522.6	51.1234672133725	-0.952498971941678	0.366208810249505	38.7824957018832	1.92992346686622e-08	8.38728626816307e-08	chr5	160438593	160487426	+	NA	MIR3142HG
MSTRG.24436	95.7193580489908	0.102851806267923	0.368988833225676	38.7651206565018	1.94634754752544e-08	8.45712908238869e-08	chr7	75092572	75149817	+	NA	GTF2IRD2B
MSTRG.3574	101.599664867832	-7.39771757121497	1.34050945042548	38.7521007507394	1.95874628192326e-08	8.50945908326095e-08	chr10	52314280	52318042	+	NA	DKK1
MSTRG.16851	16504.6907163687	-0.519155871656345	0.114609215331694	38.7501843220419	1.96057792697696e-08	8.51587140202981e-08	chr20	2461633	2524702	-	NA	SNRPB
MSTRG.16886	2417.67410111372	-0.083958696116809	0.10662052771266	38.7470100989706	1.96361548491419e-08	8.52751838987216e-08	chr20	4852355	5010293	-	NA	SLC23A2
MSTRG.7952	17670.661834681	0.642975971788753	0.138718648915531	38.7375922726534	1.97265551797903e-08	8.56522375947884e-08	chr14	22946227	22982551	-	NA	HAUS4
MSTRG.27787	109.549753664684	1.24508893418536	0.28898716660709	38.7368387916539	1.97338056654593e-08	8.56681853635039e-08	chrX	63299246	63299673	-	NA	CBX1P1
MSTRG.14133	6906.19062815754	-0.77271682318281	0.145098847338136	38.7158986203016	1.9936373949088e-08	8.6531885188483e-08	chr19	18306235	18323112	-	NA	LSM4
ENSG00000255521.2	19.355768603348	-0.750577915618395	0.663643947146125	38.7091268469933	2.00023251979554e-08	8.68024065223342e-08	chr11	35132654	35138032	-	NA	AL356215.1
MSTRG.25023	6965.50332633689	-0.0141214837598077	0.171474147943349	38.7065150268948	2.00278202672423e-08	8.68972973581056e-08	chr7	140672944	140722790	+	NA	ADCK2
MSTRG.6808	5141.75237677227	-0.876411780082971	0.183461237419726	38.6665056326003	2.04224499087125e-08	8.8586893531666e-08	chr12	88033845	88050160	+	NA	C12orf29
MSTRG.7635	351.027376647031	-0.417184027102532	0.224956184020863	38.6662865498568	2.04246320549707e-08	8.8586893531666e-08	chr13	64958096	64959396	-	NA	LGMNP1
MSTRG.20059	1024.86705504157	-0.665154740729415	0.131366280253356	38.6471688572817	2.06159509593835e-08	8.94005001219482e-08	chr3	197960199	198043720	+	NA	LMLN
MSTRG.286	345.011090780451	-1.58588116460312	0.30584716487798	38.6356119707312	2.07324725879539e-08	8.98895145013839e-08	KI270857.1	1848851	1882631	-	NA	NA
MSTRG.10056	8.17695279494605	4.13205103247787	0.963686229205372	38.6345926884112	2.07427809513505e-08	8.99179277083707e-08	chr16	1833982	1884294	-	NA	MEIOB
MSTRG.25891	2034.02034506942	-0.841175403750883	0.171410575606228	38.6276381604375	2.08132513009836e-08	9.02070797562632e-08	chr8	96239397	96261610	-	NA	MTERF3
MSTRG.23025	10971.6683494845	-0.668654733464908	0.142915096044678	38.6249738748795	2.08403118544825e-08	9.03080180360907e-08	chr6	44387705	44450425	+	NA	CDC5L
MSTRG.25683	506.233880869694	-0.459169714581499	0.157213100438633	38.608737218936	2.10059851844504e-08	9.10094664785327e-08	chr8	69667045	69834978	-	NA	SLCO5A1
MSTRG.6360	5478.27360714307	-0.236433319958381	0.119998854309014	38.6077523541553	2.10160766181853e-08	9.10367168413651e-08	chr12	50504984	50748657	+	NA	DIP2B
MSTRG.23095	1763.17151761147	0.0030292852653999	0.094858666880733	38.6054629973868	2.10395532639831e-08	9.11219284607234e-08	chr6	52497407	52577060	-	NA	TRAM2
MSTRG.20531	1296.10687256713	-0.632011550563615	0.142402786661327	38.6034281895946	2.10604415731321e-08	9.11959012495879e-08	chr4	78180865	78182046	-	NA	SERBP1P5
MSTRG.16331	41.5902735677934	-0.802237456917189	0.306570014980977	38.5964240384908	2.11325011259928e-08	9.14913888922482e-08	chr2	190534854	190569776	+	NA	AC108047.1
MSTRG.2526	31693.2854304445	-0.88708553028885	0.176419226349418	38.5916365759599	2.11818967436566e-08	9.16886658394073e-08	chr1	173858558	173868882	-	NA	GAS5
MSTRG.2317	3733.08375321453	0.434917288064118	0.140107000470455	38.583582510133	2.1265256513947e-08	9.20328632718191e-08	chr1	156463726	156500779	-	NA	MEF2D
MSTRG.10933	90.2906822896383	0.798899216269994	0.276217565757287	38.5698935970336	2.14076894259122e-08	9.26325498722252e-08	chr16	67207138	67227048	-	NA	LRRC29
MSTRG.16895	146.976700538109	-1.4669067211497	0.31520324819652	38.5668539171476	2.14394462943135e-08	9.27532034261303e-08	chr20	5750392	5864395	+	NA	SHLD1
MSTRG.24688	3778.65284870455	-1.07943740035151	0.172213004456522	38.5660731411263	2.14476109955063e-08	9.27717653356927e-08	chr7	104126340	104208047	-	NA	ORC5
MSTRG.4688	949.858543808179	0.613721232812037	0.190880294178116	38.5613994894899	2.14965490959548e-08	9.29666542625489e-08	chr11	36594492	36659290	+	NA	IFTAP
MSTRG.23506	136.277588441447	-0.0484858874892515	0.328754287054291	38.5591376157075	2.15202733492838e-08	9.30524495525369e-08	chr6	127519454	127591820	+	NA	C6orf58
MSTRG.28083	615.344696381978	0.0430068795321172	0.13872969410576	38.5574675818714	2.15378067143992e-08	9.31114496448822e-08	chrX	119870474	119871733	-	NA	RNF113A
MSTRG.884	998.06207732051	-0.694609722738791	0.111702509802661	38.5545549651895	2.15684198640071e-08	9.32269642713924e-08	chr1	25959766	25998117	-	NA	PAFAH2
MSTRG.16812	5466.4750818351	-0.0918777709054561	0.122136214750605	38.5431113946953	2.16891192408843e-08	9.37317540772814e-08	chr2	241356284	241494841	+	NA	FARP2
MSTRG.2452	15168.6941173789	-0.500969457655455	0.106417425654187	38.533105819849	2.17952041924748e-08	9.41732153722485e-08	chr1	168225937	168314426	+	NA	SFT2D2
MSTRG.4934	8592.27903530352	-0.972298282493357	0.173014814226451	38.5283517160547	2.18457914329992e-08	9.43747648664259e-08	chr11	62851983	62855953	-	NA	SNHG1
MSTRG.622	13261.6973524625	-0.721782662312107	0.156164864527259	38.5258709408498	2.18722352901139e-08	9.44719600030785e-08	chr1	7954290	7985505	+	NA	PARK7
MSTRG.5488	4288.15593174725	-0.890662761720406	0.159235740234354	38.5150282188038	2.19881891530739e-08	9.49556677113629e-08	chr11	108665068	108940927	+	NA	DDX10
MSTRG.27012	3359.22983630496	-0.362669579522977	0.119765004751891	38.4989384059686	2.21613886922911e-08	9.56863710107468e-08	chr9	113161005	113221318	-	NA	FKBP15
MSTRG.2595	2840.84938825138	0.629100016964385	0.185611255026564	38.496610212419	2.2186563230209e-08	9.57777975681602e-08	chr1	181033424	181061938	+	NA	MR1
MSTRG.635	4888.25646834159	-0.393144500648874	0.128793270484688	38.4837239423093	2.23264186565139e-08	9.63641710794669e-08	chr1	8352396	8848921	-	NA	RERE
MSTRG.8044	3180.63885699633	0.165029579402818	0.181429554326784	38.4753590342606	2.24176744013107e-08	9.67406075353731e-08	chr14	34515937	34539711	-	NA	EAPP
MSTRG.5288	189.281322201018	1.10913478972526	0.231355382833725	38.4738930296154	2.24337058856672e-08	9.67923461510248e-08	chr11	78139770	78175323	+	NA	KCTD21-AS1
MSTRG.23726	615.476634081408	-0.169115330568949	0.135688656913587	38.4731689954678	2.24416277797534e-08	9.68090828344395e-08	chr6	149942013	150033566	+	NA	NA
MSTRG.3053	2595.65159331579	0.558493576533895	0.111227590514137	38.4688986356644	2.24884080462311e-08	9.69934112166877e-08	chr1	236517999	236552981	+	NA	LGALS8
MSTRG.19988	6790.76502896391	-0.927481768906671	0.161307800904653	38.4663264068209	2.25166328797815e-08	9.70976572914187e-08	chr3	195274744	195443044	-	NA	ACAP2
MSTRG.25175	176.029364090407	0.67564013254728	0.165197523839652	38.4529036280996	2.2664494835421e-08	9.77176797495484e-08	chr7	156640280	156677130	+	NA	RNF32
MSTRG.23600	7388.60385140354	0.841835764544584	0.166369458878957	38.4483381065928	2.27150081645783e-08	9.79178371753361e-08	chr6	138088504	138107419	-	NA	PERP
MSTRG.24179	12217.8660226309	-0.47817312994484	0.135925052092899	38.4472665151772	2.27268806286593e-08	9.79513829254636e-08	chr7	37683795	37951936	+	NA	GPR141
MSTRG.4896	202.405283095327	-1.69333828610676	0.291013068750762	38.4335567316143	2.2879323162769e-08	9.85906554715972e-08	chr11	62665308	62668496	+	NA	CSKMT
MSTRG.6576	967.786757251997	-0.0634053136257995	0.112593612825995	38.432903961626	2.288660689146e-08	9.86042980609753e-08	chr12	58872148	58920504	-	NA	LRIG3
MSTRG.7200	9043.20340930684	0.136631787403313	0.137725021292249	38.4268699005683	2.29540458039703e-08	9.88770607702597e-08	chr12	122834452	122862969	+	NA	NA
MSTRG.20289	684.427454060917	-0.230838686683118	0.179487011691078	38.4142070097666	2.30962169344904e-08	9.94715846606666e-08	chr4	39528018	39594707	+	NA	UGDH-AS1
ENSG00000235217.6	40.688023320127	-0.0707297025474154	0.36222585840525	38.40528004924	2.31969715365981e-08	9.98875526731486e-08	chr20	32186476	32190527	-	NA	TSPY26P
ENSG00000175538.10	14.8266897045067	5.30567655653559	1.47029553176066	38.4008710691084	2.32468955386692e-08	1.00084530846633e-07	chr11	74454840	74467729	-	NA	KCNE3
MSTRG.21164	180.493270704355	0.105491423515123	0.212014944676961	38.3610296878016	2.3702923673203e-08	1.02029518295617e-07	chr5	1567494	1594620	-	NA	SDHAP3
MSTRG.8177	665.075899513218	0.477492759439235	0.125814312644175	38.3494366083725	2.38372894639978e-08	1.02589456057673e-07	chr14	50108631	50116600	-	NA	VCPKMT
MSTRG.26616	122.061242015355	0.00573737885333107	0.301320155557393	38.3352163371758	2.40031441079749e-08	1.03284688016095e-07	chr9	41269915	41273997	-	NA	AL845472.1
MSTRG.25992	729.287062537602	0.783082702769874	0.164464611064132	38.3302840583322	2.40609393167962e-08	1.03514777736256e-07	chr8	103153393	103298772	-	NA	BAALC-AS1
MSTRG.8002	529.027790616439	1.42643842043076	0.278074552392257	38.3034443364383	2.43778849710235e-08	1.04859499464007e-07	chr14	24442938	24508688	+	NA	NA
MSTRG.10867	2117.15690599366	0.777326303716898	0.158231008257073	38.293685558732	2.44941554439821e-08	1.05340705147557e-07	chr16	57758216	57863053	-	NA	KIFC3
MSTRG.6323	46.4776961442556	-1.15191956062237	0.336942543777859	38.2759398774784	2.47070065459444e-08	1.06237022580209e-07	chr12	49232789	49264756	-	NA	AC010173.1
MSTRG.17252	1106.91842738228	0.000420924321478908	0.141990501735957	38.2745431716068	2.47238375842801e-08	1.06290307862329e-07	chr20	45640485	45641370	-	NA	RPS2P7
MSTRG.19381	429.904828290024	-0.483134455204943	0.194753431912188	38.2665822359855	2.48199899053465e-08	1.06684523114957e-07	chr3	125916619	125930024	+	NA	FAM86JP
MSTRG.17165	3158.6676415594	-0.372437427815528	0.126988695367508	38.2594850025951	2.49060252469762e-08	1.07035118550627e-07	chr20	36651765	36746090	-	NA	NDRG3
MSTRG.24617	18149.4295752141	-0.665798765862956	0.107554320087505	38.256104094046	2.49471145687332e-08	1.07192464644336e-07	chr7	99416738	99470326	-	NA	PTCD1
MSTRG.7662	32.0765820118664	-0.365454823507479	0.396353445190571	38.2503288127477	2.50174601657291e-08	1.07475439743192e-07	chr13	50125815	50128463	+	NA	AL137060.3
MSTRG.21484	2998.68439376305	-0.719044024641706	0.196823531499099	38.2456576268479	2.50745022568225e-08	1.07701171487331e-07	chr5	60945204	61153026	+	NA	NDUFAF2
MSTRG.857	9249.49353135942	-0.397317306259014	0.151083222999774	38.2356333602231	2.51973522260137e-08	1.08207554627089e-07	chr1	23956838	23963462	+	NA	PNRC2
MSTRG.15259	3129.17380612907	0.221081547329732	0.109516262223797	38.2353011573138	2.52014337323677e-08	1.08207554627089e-07	chr2	45388679	45612165	-	NA	SRBD1
ENSG00000180938.6	207.556609603484	0.952589649012839	0.201270768413111	38.2347374209893	2.52083614120246e-08	1.08217895728279e-07	chr8	124973294	124979389	+	NA	ZNF572
MSTRG.4151	1906.23837586266	0.27534255854512	0.138398874244817	38.2255254290099	2.53218361832623e-08	1.08685551038609e-07	chr10	114821743	114899832	+	NA	FAM160B1
MSTRG.11026	156.767503160243	1.00434995375324	0.188177328266518	38.223699988141	2.53443827391527e-08	1.08762829582751e-07	chr16	69726668	69742563	+	NA	NA
ENSG00000134962.7	28.1650525821121	-2.49364509867619	0.485008728372297	38.2206377158239	2.53822508001775e-08	1.08905819326474e-07	chr4	39406929	39451533	+	NA	KLB
MSTRG.10972	2205.97805894356	-0.778702633590171	0.133281275746416	38.2183539525719	2.54105285973159e-08	1.09007616945777e-07	chr16	67939749	67969601	-	NA	LCAT
MSTRG.22973	3852.59656519914	-0.150952900622282	0.128119176849733	38.2068257300421	2.55537532471095e-08	1.09602395711138e-07	chr6	42563865	42693504	+	NA	NA
ENSG00000223749.11	142.093259020023	-0.694836412006816	0.243856829021665	38.196525407808	2.56824045201812e-08	1.10134466088872e-07	chrX	134543118	134546642	-	NA	MIR503HG
MSTRG.5610	15493.825229944	-0.826252746784999	0.134356429864205	38.1917103862353	2.5742765922757e-08	1.10373549290303e-07	chr11	118401601	118526832	+	NA	AP001267.5
MSTRG.813	685.117258792746	-0.340590813027179	0.147719980937319	38.1757719674366	2.59435834343494e-08	1.11214652509655e-07	chr1	21440127	21485005	+	NA	NBPF3
MSTRG.15641	3371.53703739162	0.403296080110425	0.0846686132899688	38.1587280395204	2.61600612518854e-08	1.12122575038061e-07	chr2	85602800	85649283	+	NA	NA
MSTRG.18155	2080.26826186916	-0.0310482125052227	0.172302540387358	38.141037599619	2.6386658612081e-08	1.13073537423925e-07	chr22	37180165	37199385	-	NA	C1QTNF6
MSTRG.5303	1611.71843422653	-0.345315685562867	0.137453116031003	38.1312136308386	2.65133395527791e-08	1.13583584763396e-07	chr11	82899974	82958277	+	NA	DDIAS
MSTRG.10309	401.223393268984	0.577989320203717	0.22821851966426	38.1310720965261	2.65151690815745e-08	1.13583584763396e-07	chr16	13380555	13383680	-	NA	NA
ENSG00000205978.6	88.5645237571816	7.9401342379336	1.7592199747624	38.1255345594863	2.65868485393672e-08	1.13870269204737e-07	chr14	24399002	24419283	+	NA	NYNRIN
MSTRG.2775	2223.15483422809	0.504887291262526	0.131066952306012	38.111150350901	2.67739473531875e-08	1.14651098590742e-07	chr1	205597555	205632011	-	NA	ELK4
ENSG00000077522.13	17.7673555736241	2.14114886234181	0.639353240090906	38.0970923162127	2.69580740161181e-08	1.15418923724292e-07	chr1	236664140	236764631	+	NA	ACTN2
MSTRG.24627	6761.42913010006	-0.550008599808399	0.100600448660889	38.0583180063872	2.74725052716667e-08	1.17600395286973e-07	chr7	100107069	100119841	-	NA	TAF6
MSTRG.16972	26.4067834122993	1.60214871426586	0.892122902461843	38.0374560906793	2.77533315156541e-08	1.18781282658419e-07	chr20	15971380	15977535	+	NA	NA
MSTRG.4039	2591.10137133698	-0.0873809930542845	0.0894638649234248	38.0333289175101	2.78092269378236e-08	1.18999240216784e-07	chr10	101845598	102056193	-	NA	ARMH3
MSTRG.10965	2495.58793003561	-0.436631239260107	0.167727479306125	38.0222983060637	2.79591698863967e-08	1.1961948938711e-07	chr16	67893253	67929676	+	NA	PSKH1
